,customer_number,Cluster,cluster_name
1582,8657,3,Convenience-seeker Buyers
1583,8660,3,Convenience-seeker Buyers
1584,8662,2,Regular Buyers
1585,8668,3,Convenience-seeker Buyers
1586,8673,3,Convenience-seeker Buyers
1587,8677,3,Convenience-seeker Buyers
1588,8678,2,Regular Buyers
1589,8680,0,Premium Buyers
1590,8685,1,Budget Buyers
1591,8688,2,Regular Buyers
1592,8689,2,Regular Buyers
1593,8693,2,Regular Buyers
1594,8694,1,Budget Buyers
1595,8701,4,Occassional Buyers
1596,8717,2,Regular Buyers
1597,8719,2,Regular Buyers
1598,8720,0,Premium Buyers
1599,8733,3,Convenience-seeker Buyers
1600,8735,3,Convenience-seeker Buyers
1601,8738,3,Convenience-seeker Buyers
1602,8746,1,Budget Buyers
1603,8754,0,Premium Buyers
1604,8756,0,Premium Buyers
1605,8759,1,Budget Buyers
1606,8778,2,Regular Buyers
1607,8784,1,Budget Buyers
1608,8789,2,Regular Buyers
1609,8796,0,Premium Buyers
1610,8799,3,Convenience-seeker Buyers
1611,8803,4,Occassional Buyers
1612,8812,3,Convenience-seeker Buyers
1613,8813,3,Convenience-seeker Buyers
1614,8814,3,Convenience-seeker Buyers
1615,8819,0,Premium Buyers
1616,8833,3,Convenience-seeker Buyers
1617,8836,1,Budget Buyers
1618,8840,2,Regular Buyers
1619,8841,2,Regular Buyers
1620,8844,3,Convenience-seeker Buyers
1621,8847,4,Occassional Buyers
1622,8851,0,Premium Buyers
1623,8862,2,Regular Buyers
1624,8863,3,Convenience-seeker Buyers
1625,8876,1,Budget Buyers
1626,8888,1,Budget Buyers
1627,8893,1,Budget Buyers
1628,8909,1,Budget Buyers
1629,8911,3,Convenience-seeker Buyers
1630,8912,2,Regular Buyers
1631,8947,1,Budget Buyers
1632,8953,1,Budget Buyers
1633,8966,0,Premium Buyers
1634,8968,1,Budget Buyers
1635,8972,2,Regular Buyers
1636,8982,0,Premium Buyers
1637,8987,2,Regular Buyers
1638,8994,0,Premium Buyers
1639,8997,1,Budget Buyers
1640,9001,1,Budget Buyers
1641,9011,2,Regular Buyers
1642,9016,3,Convenience-seeker Buyers
1643,9023,4,Occassional Buyers
1644,9027,1,Budget Buyers
1645,9030,3,Convenience-seeker Buyers
1646,9042,0,Premium Buyers
1647,9052,3,Convenience-seeker Buyers
1648,9054,1,Budget Buyers
1649,9057,3,Convenience-seeker Buyers
1650,9066,0,Premium Buyers
1651,9067,1,Budget Buyers
1652,9070,0,Premium Buyers
1653,9076,2,Regular Buyers
1654,9078,2,Regular Buyers
1655,9083,3,Convenience-seeker Buyers
1656,9089,3,Convenience-seeker Buyers
1657,9090,0,Premium Buyers
1658,9093,0,Premium Buyers
1659,9097,2,Regular Buyers
1660,9098,3,Convenience-seeker Buyers
1661,9105,4,Occassional Buyers
1662,9110,1,Budget Buyers
1663,9112,2,Regular Buyers
1664,9118,1,Budget Buyers
1665,9122,1,Budget Buyers
1666,9123,4,Occassional Buyers
1667,9125,3,Convenience-seeker Buyers
1668,9126,3,Convenience-seeker Buyers
1669,9127,1,Budget Buyers
1670,9128,0,Premium Buyers
1671,9137,0,Premium Buyers
1672,9139,3,Convenience-seeker Buyers
1673,9146,1,Budget Buyers
1674,9154,3,Convenience-seeker Buyers
1675,9157,0,Premium Buyers
1676,9158,2,Regular Buyers
1677,9164,3,Convenience-seeker Buyers
1678,9190,0,Premium Buyers
1679,9191,0,Premium Buyers
1680,9206,0,Premium Buyers
1681,9207,3,Convenience-seeker Buyers
1682,9208,0,Premium Buyers
1683,9209,1,Budget Buyers
1684,9219,2,Regular Buyers
1685,9221,3,Convenience-seeker Buyers
1686,9225,3,Convenience-seeker Buyers
1687,9230,4,Occassional Buyers
1688,9232,3,Convenience-seeker Buyers
1689,9256,3,Convenience-seeker Buyers
1690,9258,0,Premium Buyers
1691,9260,2,Regular Buyers
1692,9261,2,Regular Buyers
1693,9264,2,Regular Buyers
1694,9266,0,Premium Buyers
1695,9269,2,Regular Buyers
1696,9270,4,Occassional Buyers
1697,9271,0,Premium Buyers
1698,9285,2,Regular Buyers
1699,9293,4,Occassional Buyers
1700,9295,1,Budget Buyers
1701,9297,1,Budget Buyers
1702,9311,1,Budget Buyers
1703,9320,3,Convenience-seeker Buyers
1704,9326,1,Budget Buyers
1705,9328,2,Regular Buyers
1706,9333,1,Budget Buyers
1707,9339,2,Regular Buyers
1708,9342,2,Regular Buyers
1709,9349,2,Regular Buyers
1710,9362,0,Premium Buyers
1711,9369,2,Regular Buyers
1712,9374,1,Budget Buyers
1713,9378,3,Convenience-seeker Buyers
1714,9380,3,Convenience-seeker Buyers
1715,9382,2,Regular Buyers
1716,9383,2,Regular Buyers
1717,9392,0,Premium Buyers
1718,9397,2,Regular Buyers
1719,9398,3,Convenience-seeker Buyers
1720,9400,1,Budget Buyers
1721,9406,1,Budget Buyers
1722,9412,3,Convenience-seeker Buyers
1723,9419,0,Premium Buyers
1724,9420,1,Budget Buyers
1725,9423,2,Regular Buyers
1726,9424,0,Premium Buyers
1727,9427,2,Regular Buyers
1728,9435,1,Budget Buyers
1729,9449,3,Convenience-seeker Buyers
1730,9458,0,Premium Buyers
1731,9465,2,Regular Buyers
1732,9470,0,Premium Buyers
1733,9471,3,Convenience-seeker Buyers
1734,9476,1,Budget Buyers
1735,9484,2,Regular Buyers
1736,9487,0,Premium Buyers
1737,9491,3,Convenience-seeker Buyers
1738,9492,4,Occassional Buyers
1739,9499,0,Premium Buyers
1740,9501,3,Convenience-seeker Buyers
1741,9502,3,Convenience-seeker Buyers
1742,9511,3,Convenience-seeker Buyers
1743,9516,0,Premium Buyers
1744,9521,3,Convenience-seeker Buyers
1745,9526,1,Budget Buyers
1746,9527,1,Budget Buyers
1747,9556,3,Convenience-seeker Buyers
